,protein
1309,9606.ensp00000315644
1310,9606.ensp00000282249
1311,9606.ensp00000478425
1312,9606.ensp00000402152
1313,9606.ensp00000368727
1314,9606.ensp00000360939
1315,9606.ensp00000411532
1316,9606.ensp00000358513
1317,9606.ensp00000363596
1318,9606.ensp00000478492
1319,9606.ensp00000291295
1320,9606.ensp00000344220
1321,9606.ensp00000384881
1322,9606.ensp00000237612
1323,9606.ensp00000367102
1324,9606.ensp00000337335
1325,9606.ensp00000301891
1326,9606.ensp00000361666
1327,9606.ensp00000295897
1328,9606.ensp00000318820
1329,9606.ensp00000323929
1330,9606.ensp00000385834
1331,9606.ensp00000301071
1332,9606.ensp00000341289
1333,9606.ensp00000339001
1334,9606.ensp00000248437
1335,9606.ensp00000367608
1336,9606.ensp00000245407
1337,9606.ensp00000200652
1338,9606.ensp00000290866
1339,9606.ensp00000356436
1340,9606.ensp00000366109
1341,9606.ensp00000296511
1342,9606.ensp00000361850
1343,9606.ensp00000353915
1344,9606.ensp00000263025
1345,9606.ensp00000352584
1346,9606.ensp00000398698
1347,9606.ensp00000280097
1348,9606.ensp00000335153
1349,9606.ensp00000299767
1350,9606.ensp00000286301
1351,9606.ensp00000257290
1352,9606.ensp00000292427
1353,9606.ensp00000303522
1354,9606.ensp00000396704
1355,9606.ensp00000360522
1356,9606.ensp00000224356
1357,9606.ensp00000354522
1358,9606.ensp00000291700
1359,9606.ensp00000357688
1360,9606.ensp00000357697
1361,9606.ensp00000292513
1362,9606.ensp00000380281
1363,9606.ensp00000354632
1364,9606.ensp00000355231
1365,9606.ensp00000322788
1366,9606.ensp00000219070
1367,9606.ensp00000299855
1368,9606.ensp00000236826
1369,9606.ensp00000458585
1370,9606.ensp00000260302
1371,9606.ensp00000312286
1372,9606.ensp00000323926
1373,9606.ensp00000262209
1374,9606.ensp00000301365
1375,9606.ensp00000232975
1376,9606.ensp00000356959
1377,9606.ensp00000226730
1378,9606.ensp00000383003
1379,9606.ensp00000354558
1380,9606.ensp00000350024
1381,9606.ensp00000406050
1382,9606.ensp00000260191
1383,9606.ensp00000371929
1384,9606.ensp00000322617
1385,9606.ensp00000349003
1386,9606.ensp00000315011
1387,9606.ensp00000269305
1388,9606.ensp00000358983
1389,9606.ensp00000226574
1390,9606.ensp00000360317
1391,9606.ensp00000342007
1392,9606.ensp00000360372
1393,9606.ensp00000361965
1394,9606.ensp00000265421
1395,9606.ensp00000270142
1396,9606.ensp00000298556
1397,9606.ensp00000366233
1398,9606.ensp00000259455
1399,9606.ensp00000003100
1400,9606.ensp00000240662
1401,9606.ensp00000263341
1402,9606.ensp00000478570
1403,9606.ensp00000433138
1404,9606.ensp00000311032
1405,9606.ensp00000307786
1406,9606.ensp00000352516
1407,9606.ensp00000256958
1408,9606.ensp00000305974
1409,9606.ensp00000261196
1410,9606.ensp00000289575
1411,9606.ensp00000381185
1412,9606.ensp00000274024
1413,9606.ensp00000357712
1414,9606.ensp00000215832
1415,9606.ensp00000320866
1416,9606.ensp00000353731
1417,9606.ensp00000291294
1418,9606.ensp00000219240
1419,9606.ensp00000356671
1420,9606.ensp00000480791
1421,9606.ensp00000296271
1422,9606.ensp00000359793
1423,9606.ensp00000434516
1424,9606.ensp00000362649
1425,9606.ensp00000363089
1426,9606.ensp00000228740
1427,9606.ensp00000216629
1428,9606.ensp00000241052
1429,9606.ensp00000217133
1430,9606.ensp00000362680
1431,9606.ensp00000337825
1432,9606.ensp00000483570
1433,9606.ensp00000350896
1434,9606.ensp00000428924
1435,9606.ensp00000229795
1436,9606.ensp00000269571
1437,9606.ensp00000222381
1438,9606.ensp00000264613
1439,9606.ensp00000264933
1440,9606.ensp00000226413
1441,9606.ensp00000353224
1442,9606.ensp00000362674
1443,9606.ensp00000307199
1444,9606.ensp00000366482
1445,9606.ensp00000273550
1446,9606.ensp00000305480
1447,9606.ensp00000347170
1448,9606.ensp00000284503
1449,9606.ensp00000378669
1450,9606.ensp00000339063
1451,9606.ensp00000337060
1452,9606.ensp00000327801
1453,9606.ensp00000262746
1454,9606.ensp00000229270
1455,9606.ensp00000245185
1456,9606.ensp00000264606
1457,9606.ensp00000255040
1458,9606.ensp00000457539
1459,9606.ensp00000333994
1460,9606.ensp00000416066
1461,9606.ensp00000342850
1462,9606.ensp00000215727
1463,9606.ensp00000237014
1464,9606.ensp00000284981
1465,9606.ensp00000385216
1466,9606.ensp00000478561
1467,9606.ensp00000222002
1468,9606.ensp00000269582
1469,9606.ensp00000378972
1470,9606.ensp00000320295
1471,9606.ensp00000342056
1472,9606.ensp00000324806
1473,9606.ensp00000266970
1474,9606.ensp00000352121
1475,9606.ensp00000364907
1476,9606.ensp00000356070
1477,9606.ensp00000419782
1478,9606.ensp00000378699
1479,9606.ensp00000356198
1480,9606.ensp00000349687
1481,9606.ensp00000485444
1482,9606.ensp00000369050
1483,9606.ensp00000223366
1484,9606.ensp00000402103
1485,9606.ensp00000330484
1486,9606.ensp00000481450
1487,9606.ensp00000354610
1488,9606.ensp00000380489
1489,9606.ensp00000358223
1490,9606.ensp00000216911
1491,9606.ensp00000309591
1492,9606.ensp00000011292
1493,9606.ensp00000354499
1494,9606.ensp00000452786
1495,9606.ensp00000416293
1496,9606.ensp00000290349
1497,9606.ensp00000231751
1498,9606.ensp00000265769
1499,9606.ensp00000354280
1500,9606.ensp00000308720
1501,9606.ensp00000301420
1502,9606.ensp00000359211
1503,9606.ensp00000419970
1504,9606.ensp00000228476
1505,9606.ensp00000368066
1506,9606.ensp00000483018
1507,9606.ensp00000361140
1508,9606.ensp00000265734
1509,9606.ensp00000257904
1510,9606.ensp00000363079
1511,9606.ensp00000364145
1512,9606.ensp00000440005
1513,9606.ensp00000317159
1514,9606.ensp00000354554
1515,9606.ensp00000203407
1516,9606.ensp00000268379
1517,9606.ensp00000309565
1518,9606.ensp00000367939
1519,9606.ensp00000306397
1520,9606.ensp00000430494
1521,9606.ensp00000332887
1522,9606.ensp00000381736
1523,9606.ensp00000262030
1524,9606.ensp00000215754
1525,9606.ensp00000417222
1526,9606.ensp00000307940
1527,9606.ensp00000352157
1528,9606.ensp00000304802
1529,9606.ensp00000355645
1530,9606.ensp00000470298
1531,9606.ensp00000346768
1532,9606.ensp00000364257
1533,9606.ensp00000467262
1534,9606.ensp00000334061
1535,9606.ensp00000302486
1536,9606.ensp00000361548
1537,9606.ensp00000366416
1538,9606.ensp00000388648
1539,9606.ensp00000253727
1540,9606.ensp00000477707
1541,9606.ensp00000303423
1542,9606.ensp00000246166
1543,9606.ensp00000349078
1544,9606.ensp00000282841
1545,9606.ensp00000379696
1546,9606.ensp00000317272
1547,9606.ensp00000343204
1548,9606.ensp00000371067
1549,9606.ensp00000350198
1550,9606.ensp00000293897
1551,9606.ensp00000405573
1552,9606.ensp00000308938
1553,9606.ensp00000329374
1554,9606.ensp00000385675
1555,9606.ensp00000360609
1556,9606.ensp00000384957
1557,9606.ensp00000264870
1558,9606.ensp00000353393
1559,9606.ensp00000333926
1560,9606.ensp00000222382
1561,9606.ensp00000222982
1562,9606.ensp00000480571
1563,9606.ensp00000440689
1564,9606.ensp00000260682
1565,9606.ensp00000353820
1566,9606.ensp00000304845
1567,9606.ensp00000357981
1568,9606.ensp00000364133
1569,9606.ensp00000402084
1570,9606.ensp00000300093
1571,9606.ensp00000362353
1572,9606.ensp00000260116
1573,9606.ensp00000256104
1574,9606.ensp00000285979
1575,9606.ensp00000216862
1576,9606.ensp00000363832
1577,9606.ensp00000360247
1578,9606.ensp00000268053
1579,9606.ensp00000324648
1580,9606.ensp00000301141
1581,9606.ensp00000332679
1582,9606.ensp00000341045
1583,9606.ensp00000418532
1584,9606.ensp00000362508
1585,9606.ensp00000303174
1586,9606.ensp00000343838
1587,9606.ensp00000304811
1588,9606.ensp00000286648
1589,9606.ensp00000356729
1590,9606.ensp00000286479
1591,9606.ensp00000305221
1592,9606.ensp00000379038
1593,9606.ensp00000312304
1594,9606.ensp00000481732
1595,9606.ensp00000270776
1596,9606.ensp00000221700
1597,9606.ensp00000216254
1598,9606.ensp00000418525
1599,9606.ensp00000285238
1600,9606.ensp00000245312
1601,9606.ensp00000216540
1602,9606.ensp00000361608
1603,9606.ensp00000357844
1604,9606.ensp00000311291
1605,9606.ensp00000355920
1606,9606.ensp00000355930
1607,9606.ensp00000275300
1608,9606.ensp00000378230
1609,9606.ensp00000365413
1610,9606.ensp00000444149
1611,9606.ensp00000309741
1612,9606.ensp00000217159
1613,9606.ensp00000261622
1614,9606.ensp00000320634
1615,9606.ensp00000270570
1616,9606.ensp00000326671
1617,9606.ensp00000264784
1618,9606.ensp00000366525
